lat	long	proximidade metros	name							Footfall Users	Footfall Rate %
-8.092.339.308.671.470	-3.488.475.077.469.840	100	Recibom - Av. Eng. Domingos Ferreira, 306 - Pina							3589	9,5
-8.131.969.149.507.210	-3.490.696.877.301.630	100	Recibom boa viagem - R. Barão de Souza Leão, 767 - Boa Viagem, Recife - PE, 51030-300							4182	7,9
-8.045.915.684.673.570	-3.490.921.522.698.360	100	Recibom - Torre - Rua Conde de Irajá, 632 - Torre, Recife - PE, 50710-310							3099	9,5
-8.047.434.924.792	-34.900.162.115.344.200	100	Recibom - Graças - Av. Rui Barbosa, 551 - Graças, Recife - PE, 52011-040							2689	9,3
-8.029.882.473.548.620	-34.906.651.673.016.300	100	Recibom - Parnamirim - Estr. do Arraial, 2668 - Tamarineira, Recife - PE, 52051-380							1184	12,5
-8.119.932.249.004.490	-3.490.091.268.465.570	100	Recibom - Boa Viagem - R. Prof. João Medeiros, 261 - Boa Viagem, Recife - PE, 51021-050							3451	14,5
-8.142.543.914.194.250	-34.908.109.113.491.800	100	Recibom - Setúbal - R. João Cardoso Aires, 407 - Boa Viagem, Recife - PE, 51130-300							4321	6,5
-8.028.130.780.221.500	-3.490.250.688.465.570	100	Recibom - Encruzilhada - Av. Norte Miguel Arraes de Alencar, S/N - Encruzilhada, Recife - PE, 52041-005							8256	11,5
-79.995.667.724.325.500	-3.484.649.217.116.390	100	Recibom - Olinda - Av. Carlos de Lima Cavalcante, 515 - Bultrins, Olinda - PE, 53030-260							8793	13,5
-8.183.601.155.218.950	-3.491.945.002.883.600	100	Recibom - Piedade - Av. Bernardo Vieira de Melo, 3454 - Piedade, Jaboatão dos Guararapes - PE, 54410-010							1987	11,2
-8.182.334.054.796.810	-349.200.238.558.197	100	Recibom - Piedade -Av. Ayrton Senna da Silva, 2851 - Piedade, Jaboatão dos Guararapes - PE, 54410-400							4089	14,51
-8.018.367.819.706.790	-34.996.213.513.770.500	100	Recibom - Timbi, Camaragibe - PE, 54765-290								