cliente,campanha,planilha,canal,kpi
senai,Linkedin Sponsored - vídeo,https://docs.google.com/spreadsheets/d/131nR7kjKW6Kq57_Qr2jVyGOnBSH-0tO4o-Mp6wVUpPo,linkedin,cpm
senai,Linkedin Sponsored - display,https://docs.google.com/spreadsheets/d/1gTE1FFci84AiIQPhDFo-vyD5yNl6_5ymiuKy7lpzzjE,linkedin,cpm
copacol,Video de 30s Campanha Institicional Netflix,https://docs.google.com/spreadsheets/d/1SJsug7CXeVS-IobwKdvx168TP001c79hbPrs1nCjJDY,netflix,cpv
copacol,Campanha Institucional de Video de 30s em Youtube ,https://docs.google.com/spreadsheets/d/14alJQ4BTB4MABaFx7UF3shdDVIY2r-Z39tEnm9Z-u7o,youtube,cpv
copacol,Campanha Institucional de Video de 90s em Youtube ,https://docs.google.com/spreadsheets/d/17eJ4Fj-80LSjAFPOwy4wipZjo2mNZXyozg8R8fRJyu0,youtube,cpm
copacol,Institucional 30s programática,https://docs.google.com/spreadsheets/d/1hutJ0nUM3hNYeRBSlgpowbknWnI5qu-etrHWtEoaKD8/edit?gid=1667459933#gid=1667459933,video programatico,cpv
copacol,Institucional REMARKETING Programática,https://docs.google.com/spreadsheets/d/1ufjQXnXd_pXyoACqmBQrNfK5aK9mz8ERz-t7GKhev60,video programatico,cpm
copacol,Remarketing youtube,https://docs.google.com/spreadsheets/d/1nDp-VgoMn5En3k40PN4Z-7QgmVrxOGnYo3RkSqNaz_o/edit?gid=406306010#gid=406306010,youtube,cpm
sebrae pr,Feira do Empreendedor Programática,https://docs.google.com/spreadsheets/d/1scA5ykf49DLobPTAKSL5fNgGMiomcJmgSJqXolV679M,video programático,cpv
sebrae pr,Feira do Empreendedor Spotify,https://docs.google.com/spreadsheets/d/1-rSt7tYoZFdEiGEBM3GIVt928-8OugHa5sPF2XguYp0,spotify,cpm
copacol,Semana do pescado programática,https://docs.google.com/spreadsheets/d/1VRJrgwKYTxF_QUrJRKeeo6npsTO_AhgrDDBZ4CF4T5o,video programático,cpv
copacol,Semana do pescado youtube,https://docs.google.com/spreadsheets/d/1jApuNZO-Y7TF67_yiF3R6yLez6_z9q8_Rt3pDSItOZg,youtube,cpv
sebrae pr,Institucional Setembro,https://docs.google.com/spreadsheets/d/1IUUSXaN0Drrdt-7B0IUiMRQK2gT-JtzhCFZvV7e5-V8,video programático,cpv
sebrae pr,SEBRAE PR NETFLIX,https://docs.google.com/spreadsheets/d/1jEJED9qiA2o_qSS1I7611MUdoycCpzTD4PCk9kVSj2o,Netflix,cpv
unimed,Programática display,https://docs.google.com/spreadsheets/d/11pcSI6uwdT4CuSXmkZGBeMfXbgOLH3u96P97H0jEQQ8,Display programática,cpm
iquine,Pin Pinterest,https://docs.google.com/spreadsheets/d/1Kje2ixjZXhfeD8whVKk58Q5vdWpSUv9cABB38tsLeX8,pinterest,cpm
sesi,NR1 Linkedin,https://docs.google.com/spreadsheets/d/1XXtwYET9HMJYMopKgBpobKInPgSLcC8Wzbq2gujPvCI/edit?usp=sharing,linkedin,cpm
sesi,PGR Linkedin,https://docs.google.com/spreadsheets/d/1F8rq-7S6npEMNRgXHpsjOW8t5-LkvO7MrR9y_akan-c/edit?usp=sharing,linkedin,cpm
sesi,PGR Native,https://docs.google.com/spreadsheets/d/1NyChr0Gi3p6K8uuIVFz4H_wtB-ZwALeIuQFZUqlHQKo/edit?usp=sharing,Native progrmática,cpm
sesi,NR1 Native,https://docs.google.com/spreadsheets/d/1BvnI_ewczUzjnMz7NyyQ2EBPufFaprS8Ixm99_Mqg-s/edit?usp=sharing,Native programática,cpm
sesi,Institucional Native,https://docs.google.com/spreadsheets/d/1B0yxLCt40BBGRWvnaOlYexmpkuYY4Nf_onyUyHcPmBA/edit?usp=sharing,Native programática,cpm
copacol,Outubro rosa youtube,https://docs.google.com/spreadsheets/d/18dGYU_hPjQKuCwnkaqWWVYtoZ8yZZZwGwI2r90eml18/edit?usp=sharing,Youtube,cpv
copacol,Outubro rosa programática,https://docs.google.com/spreadsheets/d/1F6Cx-VzFx_i8I2kkKI988W7ZISsxG9Gpkfa_8VPTb30/edit?usp=sharing,Video programática,cpv
copacol,Institucional REMARKETING Video programatico 90s,https://docs.google.com/spreadsheets/d/1vFEXr6bEqRYazIaJZlM2zrFKZoK9YECd-7Xlz2IxYII/edit?usp=sharing,Video programática,cpm
senai,Geofence rich media,https://docs.google.com/spreadsheets/d/1c0YAuDwK0747bhDV9FZWlcCbwRSMU6k4t_5Lu02cIXE/edit?usp=sharing,Geofence,cpm
Senai,Geofence - display,https://docs.google.com/spreadsheets/d/1WvZyWVcPiQQ7koivQ1lwvvDEKdT-iXf6L9OCZSHimPA/edit?usp=sharing,Geofence,cpm
sonho,Sabão em pó,https://docs.google.com/spreadsheets/d/1P603c-yOPXZF7Pt4GzWHI1A19_FGcwxtEtoaCrCLSzQ/edit?gid=304137877#gid=304137877,Tiktok,cpm
sonho,Sabão em pó YT,https://docs.google.com/spreadsheets/d/1gbMkhXHiMqCXk-QFzSt8sUbow7rUD4TXbR7Tx0H4i3s/edit?gid=304137877#gid=304137877,Youtube,cpv
sonho,Sabão em pó NetFlix,https://docs.google.com/spreadsheets/d/1J2kQlhIIC4cMIvkPhkU2UwgPIcCD4zMMhL78PysBFZM/edit?gid=304137877#gid=304137877,Netflix,cpv
sonho,Sabão em pó Disney,https://docs.google.com/spreadsheets/d/1_JYFqFZcXIFF1dtcLpdZ92HO3gm0wZX5KU02mzxCm8M/edit?gid=304137877#gid=304137877,Disney,cpv
sonho,Sabão em pó CTV,https://docs.google.com/spreadsheets/d/1aoVXo_Lt003_1WBlwkWdI4-kU38ZE7Rh5CcbgPtubtA/edit?gid=304137877#gid=304137877,Video programática,cpv