Day	Video Completion Rate %	Video Skip Rate %	Video Start Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido	Criativo
2025-08-01 00:00:00	0,928509	0	0	2187	2153	2132	2121	2279	636	Sebrae 05 - Uvas
2025-08-01 00:00:00	0,930401	0	1	2308	2272	2250	2237	2405	671,4	Sebrae 06 - Papel Mechas
2025-08-02 00:00:00	0,930401	0	1	2270	2242	2224	2212	2354	664	Sebrae 05 - Uvas
2025-08-02 00:00:00	0,939513	0	0	2161	2134	2117	2106	2242	631,4	Sebrae 06 - Papel Mechas
2025-08-03 00:00:00	0,921447	0	1	2234	2200	2174	2159	2328	648	Sebrae 05 - Uvas
2025-08-03 00:00:00	0,989312	0	0	2229	2196	2169	2155	2324	646,2	Sebrae 06 - Papel Mechas
2025-08-04 00:00:00	0,938711	0	1	1802	1793	1627	1528	1803	458	Sebrae 05 - Uvas
2025-08-04 00:00:00	0,928472	0	0	1727	1719	1560	1465	1728	439,9	Sebrae 06 - Papel Mechas
2025-08-05 00:00:00	0,943491	0	1	2269	2092	1999	1838	2277	551	Sebrae 05 - Uvas
2025-08-05 00:00:00	0,927343	0	0	2265	2089	1995	1835	2274	550,9	Sebrae 06 - Papel Mechas
2025-08-06 00:00:00	0,926795	0	1	1486	1380	1266	1126	1488	338	Sebrae 05 - Uvas
2025-08-06 00:00:00	0,927326	0	0	1392	1293	1187	1055	1395	316,3	Sebrae 06 - Papel Mechas
2025-08-07 00:00:00	0,926998	0	1	2005	1893	1779	1592	2057	478	Sebrae 05 - Uvas
2025-08-07 00:00:00	0,943491	0	0	1886	1780	1673	1497	1934	448,7	Sebrae 06 - Papel Mechas
2025-08-08 00:00:00	0,927775	0	0	1570	1519	1422	1365	1801	409	Sebrae 05 - Uvas
2025-08-08 00:00:00	0,959353	0	1	1633	1580	1479	1418	1872	425,9	Sebrae 06 - Papel Mechas
2025-08-09 00:00:00	0,932475	0	1	1976	1926	1810	1592	2029	478	Sebrae 05 - Uvas
2025-08-09 00:00:00	0,945543	0	0	1907	1858	1746	1537	1959	460,7	Sebrae 06 - Papel Mechas
2025-08-10 00:00:00	0,928926	0	1	1650	1600	1560	1497	1729	449	Sebrae 05 - Uvas
2025-08-10 00:00:00	0,930401	0	0	1538	1491	1453	1394	1611	418,3	Sebrae 06 - Papel Mechas
2025-08-11 00:00:00	0,94342	0	0	1871	1764	1588	1437	1927	431	Sebrae 05 - Uvas
2025-08-11 00:00:00	0,938193	0	1	1910	1800	1621	1466	1967	439,9	Sebrae 06 - Papel Mechas
2025-08-12 00:00:00	0,985631	0	0	1704	1623	1513	1473	1802	442	Sebrae 05 - Uvas
2025-08-12 00:00:00	0,927345	0	1	1750	1666	1552	1512	1849	453,5	Sebrae 06 - Papel Mechas
2025-08-13 00:00:00	0,998731	0	0	2090	1986	1968	1835	2108	550	Sebrae 05 - Uvas
2025-08-13 00:00:00	0,929458	0	1	2195	2086	2066	1927	2213	578,6	Sebrae 06 - Papel Mechas
2025-08-14 00:00:00	0,991254	0	1	1866	1720	1569	1467	1910	440	Sebrae 05 - Uvas
2025-08-14 00:00:00	0,983154	0	0	1811	1669	1523	1424	1853	427,3	Sebrae 06 - Papel Mechas
2025-08-15 00:00:00	0,983137	0	1	1852	1796	1655	1555	2014	467	Sebrae 05 - Uvas
2025-08-15 00:00:00	0,92734	0	0	1820	1765	1627	1529	1979	458,2	Sebrae 06 - Papel Mechas
2025-08-16 00:00:00	0,98321	0	1	1601	1498	1392	1343	1629	403	Sebrae 05 - Uvas
2025-08-16 00:00:00	0,92734	0	0	1588	1485	1380	1331	1616	399,2	Sebrae 06 - Papel Mechas
2025-08-17 00:00:00	0,93451	0	0	1311	1289	1152	1053	1322	315,9	Sebrae 05 - Uvas
2025-08-17 00:00:00	0,92673	0	0	1255	1167	1179	1055	1422	316,5	Sebrae 06 - Papel Mechas